Weight,Zone 1,"Zone 2,3 and 5","Zone 2,3 and 5","Zone 4, 6, 7 and 9","Zone 2,3 and 5","Zone 4, 6, 7 and 9","Zone 4, 6, 7 and 9",,"Zone 4, 6, 7 and 9"
Up to 50g,2.1,2.3,2.3,3,2.3,3,3,,3
Over 50g up to 250g,5.5,6,6,9,6,9,9,,9
Over 250g up to 500g,11,12,12,18,12,18,18,,18
